match_event_id,location_x,location_y,remaining_min,power_of_shot,knockout_match,game_season,remaining_sec,distance_of_shot,is_goal,area_of_shot,shot_basics,range_of_shot,home/away,shot_id_number,type_of_shot,type_of_combined_shot,lat,lng,date
12,-157.0,0.0,10,1,0,2000,22,35.0,0,2,4,2,1,2,45,3,45.539131,-122.651648,6837
35,-101.0,135.0,7,1,0,2000,45,36.0,1,1,4,0,1,3,25,3,45.539131,-122.651648,6837
43,138.0,175.0,6,1,0,2000,52,42.0,0,4,4,0,1,4,34,3,45.539131,-122.651648,6837
155,0.0,0.0,5,2,0,2000,19,20.0,1,0,0,4,1,5,34,1,45.539131,-122.651648,6837
244,-145.0,-11.0,9,3,0,2000,32,34.0,0,2,4,2,1,6,17,3,45.539131,-122.651648,6837
251,0.0,0.0,8,3,0,2000,52,20.0,1,0,0,4,1,7,34,4,45.539131,-122.651648,6837
265,-65.0,91.12693349999999,6,3,0,2000,12,32.0,1,2,1,2,1,9,36,3,45.539131,-122.651648,6837
294,-33.0,91.12693349999999,3,3,0,2000,36,32.0,0,0,1,2,1,10,44,3,45.539131,-122.651648,6837
309,-94.0,238.0,1,3,0,2000,56,45.0,0,1,5,1,1,11,7,3,45.539131,-122.651648,6837
4,121.0,127.0,11,1,0,2000,0,37.0,1,4,4,0,0,12,34,3,42.982923,-71.44609399999999,6836
27,-67.0,91.12693349999999,7,1,0,2000,28,33.44888431,1,2,1,2,0,13,44,3,42.982923,-71.44609399999999,6836
66,-94.0,4.0,5,1,0,2000,44,29.0,0,2,4,2,0,14,34,3,42.982923,-71.44609399999999,6836
80,-23.0,47.0,1,1,0,2000,16,25.0,0,0,1,4,0,15,12,3,42.982923,-71.44609399999999,6836
86,7.383876043,192.0,0,1,0,2000,28,40.0,0,0,4,0,0,16,34,3,42.982923,-71.44609399999999,6836
138,-117.0,226.0,8,2,0,2000,50,45.0,1,1,-1,-1,0,18,6,3,42.982923,-71.44609399999999,6836
244,7.383876043,97.0,11,3,0,2000,29,36.0,0,1,4,0,0,19,34,3,42.982923,-71.44609399999999,6836
255,3.0,144.0,10,3,0,2000,8,34.0,0,0,4,2,0,21,20,3,42.982923,-71.44609399999999,6836
274,-16.0,110.0,7,3,0,2000,57,31.0,1,0,1,2,0,23,44,3,42.982923,-71.44609399999999,6836
299,-109.0,150.0,5,3,0,2000,47,38.0,1,1,4,0,0,24,34,3,42.982923,-71.44609399999999,6836
307,-46.0,63.0,5,3,0,2000,11,27.0,1,0,1,4,0,25,34,3,42.982923,-71.44609399999999,6836
332,0.0,0.0,2,3,0,2000,36,20.0,0,0,0,4,0,26,34,4,42.982923,-71.44609399999999,6836
345,7.383876043,196.0,2,3,0,2000,4,40.0,0,0,4,0,0,27,30,3,42.982923,-71.44609399999999,6836
369,-183.0,186.0,0,3,0,2000,30,46.0,0,1,5,1,0,28,54,3,42.982923,-71.44609399999999,6836
400,85.0,173.0,8,4,0,2000,28,39.0,0,4,4,0,0,29,34,3,42.982923,-71.44609399999999,6836
429,3.0,87.0,6,4,0,2000,22,28.0,0,0,1,2,0,30,42,3,42.982923,-71.44609399999999,6836
488,121.0,4.0,1,4,0,2000,20,33.44888431,1,5,4,2,0,31,44,3,42.982923,-71.44609399999999,6836
499,127.0,34.0,0,4,0,2000,30,33.0,0,5,-1,2,0,32,34,3,42.982923,-71.44609399999999,6836
184,91.0,184.0,3,2,0,2000,30,40.0,1,4,4,0,1,39,34,3,49.250068,-123.114646,6833
202,-27.0,272.0,0,2,0,2000,4,47.0,1,0,5,1,1,40,34,3,49.250068,-123.114646,6833
212,-176.0,66.0,11,3,0,2000,12,38.0,0,2,4,0,1,41,34,3,49.250068,-123.114646,6833
219,7.0,4.0,10,3,0,2000,13,20.0,1,0,0,4,1,42,39,3,49.250068,-123.114646,6833
229,150.0,133.0,8,3,0,2000,59,40.0,1,4,4,0,1,43,34,3,49.250068,-123.114646,6833
233,49.0,15.0,8,3,0,2000,29,25.0,0,0,1,4,1,44,34,3,49.250068,-123.114646,6833
289,-4.0,4.0,3,3,0,2000,21,20.0,1,0,0,4,1,46,39,3,49.250068,-123.114646,6833
295,-4.0,91.12693349999999,2,3,0,2000,55,33.44888431,0,0,0,-1,1,47,34,1,49.250068,-123.114646,6833
300,1.0,9.0,2,3,0,2000,28,20.0,1,0,0,4,1,48,12,3,49.250068,-123.114646,6833
398,121.0,120.0,4,4,0,2000,55,37.0,1,4,-1,0,1,49,34,3,49.250068,-123.114646,6833
445,1.0,9.0,1,4,0,2000,8,20.0,0,0,0,4,1,51,39,3,49.250068,-123.114646,6833
254,-12.0,9.0,1,4,0,2000,6,21.0,0,0,0,4,1,52,39,3,49.250068,-123.114646,6833
7,24.0,70.0,10,1,0,2000,33,27.0,0,0,1,4,0,53,25,3,42.982923,-71.44609399999999,6832
11,-189.0,-4.0,10,1,0,2000,4,38.0,0,2,4,0,0,54,34,3,42.982923,-71.44609399999999,6832
80,-155.0,194.0,2,1,0,2000,33,44.0,0,1,5,1,0,56,34,3,42.982923,-71.44609399999999,6832
105,1.0,228.0,5,2,0,2000,26,42.0,1,0,4,0,0,57,37,3,42.982923,-71.44609399999999,6832
132,0.0,0.0,8,2,0,2000,40,20.0,1,0,0,4,0,58,34,4,42.982923,-71.44609399999999,6832
190,0.0,0.0,4,2,0,2000,5,20.0,1,0,0,4,0,59,34,1,42.982923,-71.44609399999999,6832
214,-33.0,108.0,2,2,0,2000,2,31.0,0,0,1,2,0,61,36,3,42.982923,-71.44609399999999,6832
260,0.0,91.12693349999999,5,3,0,2000,32,20.0,0,0,0,4,0,63,34,4,42.982923,-71.44609399999999,6832
353,7.383876043,21.0,0,3,0,2000,37,25.0,0,0,1,4,0,64,34,4,42.982923,-71.44609399999999,6832
369,121.0,26.0,0,3,0,2000,1,32.0,1,5,-1,2,0,65,44,3,42.982923,-71.44609399999999,6832
28,231.0,57.0,8,1,0,2000,17,43.0,0,5,6,1,1,68,21,3,29.740325,-95.365762,6830
33,0.0,0.0,7,1,0,2000,53,20.0,1,-1,0,4,1,69,4,3,29.740325,-95.365762,6830
41,7.383876043,0.0,7,1,0,2000,1,20.0,1,0,0,4,1,70,34,1,29.740325,-95.365762,6830
131,0.0,91.12693349999999,7,2,0,2000,56,20.0,1,0,0,4,1,73,34,4,29.740325,-95.365762,6830
186,51.0,57.0,2,2,0,2000,40,27.0,0,0,-1,4,1,74,0,3,29.740325,-95.365762,6830
201,167.0,190.0,0,2,0,2000,28,45.0,0,4,5,1,1,75,1,3,29.740325,-95.365762,6830
225,16.0,57.0,9,3,0,2000,10,33.44888431,0,0,1,4,1,77,1,3,29.740325,-95.365762,6830
236,-84.0,110.0,7,3,0,2000,24,33.0,0,2,4,2,1,78,36,3,29.740325,-95.365762,6830
306,-71.0,42.0,0,3,0,2000,1,28.0,0,2,1,2,1,79,2,3,29.740325,-95.365762,6830
368,30.0,133.0,5,4,0,2000,1,33.0,1,0,1,2,1,81,20,3,29.740325,-95.365762,6830
425,1.0,156.0,0,4,0,2000,46,35.0,0,0,4,2,1,82,34,3,29.740325,-95.365762,6830
2,132.0,211.0,11,1,0,2000,41,44.0,0,4,5,1,1,83,15,3,29.444994,-98.52412,6830
11,-8.0,4.0,5,1,0,2000,59,20.0,0,0,0,4,1,84,12,3,29.444994,-98.52412,6829
44,-29.0,188.0,5,1,0,2000,54,39.0,1,0,-1,0,1,88,10,3,29.444994,-98.52412,6829
70,140.0,76.0,2,1,0,2000,24,35.0,1,5,4,2,1,89,34,3,29.444994,-98.52412,6829
74,140.0,0.0,1,1,0,2000,48,34.0,1,5,4,2,1,90,15,3,29.444994,-98.52412,6829
254,-1.0,156.0,1,1,0,2000,25,35.0,1,0,4,2,1,91,34,3,29.444994,-98.52412,6829
101,110.0,76.0,5,2,0,2000,57,33.0,0,5,-1,2,1,93,34,3,29.444994,-98.52412,6829
115,132.0,87.0,9,2,0,2000,37,35.0,0,5,-1,2,1,94,49,3,29.444994,-98.52412,6829
184,-58.0,251.0,3,2,0,2000,50,45.0,1,0,5,1,1,96,34,3,29.444994,-98.52412,6829
215,-193.0,150.0,0,2,0,2000,28,44.0,0,1,5,1,1,98,51,3,29.444994,-98.52412,6829
217,140.0,0.0,0,3,0,2000,48,34.0,1,5,4,2,1,99,34,3,29.444994,-98.52412,6829
228,7.383876043,9.0,11,3,0,2000,28,24.0,0,0,1,4,1,100,34,3,29.444994,-98.52412,6829
241,24.0,150.0,9,3,0,2000,20,35.0,0,0,4,2,1,101,0,3,29.444994,-98.52412,6829
253,-1.0,0.0,7,3,0,2000,53,20.0,1,0,0,4,1,102,34,1,29.444994,-98.52412,6829
262,119.0,133.0,6,3,0,2000,40,37.0,1,4,-1,0,1,103,54,3,29.444994,-98.52412,6829
300,119.0,19.0,3,3,0,2000,0,32.0,0,5,4,-1,1,105,15,3,29.444994,-98.52412,6829
314,-193.0,42.0,0,3,0,2000,48,39.0,0,2,4,0,1,106,34,3,29.444994,-98.52412,6829
322,-166.0,55.0,0,3,0,2000,21,37.0,0,2,4,0,1,107,34,3,29.444994,-98.52412,6829
339,24.0,116.0,10,4,0,2000,39,31.0,0,0,1,2,1,108,34,3,29.444994,-98.52412,6829
365,-65.0,156.0,7,4,0,2000,8,36.0,0,1,4,0,1,109,34,3,29.444994,-98.52412,6829
370,-166.0,26.0,6,4,0,2000,25,36.0,1,2,4,0,1,110,34,3,29.444994,-98.52412,6829
379,-58.0,76.0,5,4,0,2000,14,29.0,0,2,1,2,1,111,34,3,29.444994,-98.52412,6829
395,-37.0,70.0,3,4,0,2000,38,27.0,0,0,1,4,1,112,34,3,29.444994,-98.52412,6829
4,-94.0,188.0,11,1,0,2000,9,41.0,0,1,4,0,0,114,17,3,42.982923,-71.44609399999999,6825
11,0.0,0.0,10,1,0,2000,17,20.0,0,0,0,4,0,115,4,3,42.982923,-71.44609399999999,6825
19,0.0,0.0,5,1,0,2000,23,20.0,0,0,0,4,0,116,46,3,42.982923,-71.44609399999999,6825
20,0.0,91.12693349999999,9,1,0,2000,21,20.0,0,0,0,-1,0,117,34,5,42.982923,-71.44609399999999,6825
111,0.0,0.0,3,1,0,2000,2,20.0,1,0,0,4,0,118,34,1,42.982923,-71.44609399999999,6825
130,7.383876043,0.0,0,1,0,2000,44,20.0,1,0,0,4,0,119,34,4,42.982923,-71.44609399999999,6825
135,85.0,141.0,0,1,0,2000,21,36.0,0,4,4,0,0,120,34,3,42.982923,-71.44609399999999,6825
170,7.383876043,158.0,8,2,0,2000,50,38.0,1,1,4,0,0,121,36,3,42.982923,-71.44609399999999,6825
236,7.383876043,91.12693349999999,0,2,0,2000,28,20.0,1,0,0,4,0,124,54,3,42.982923,-71.44609399999999,6825
240,1.0,276.0,0,2,0,2000,4,47.0,1,0,5,-1,0,125,34,3,42.982923,-71.44609399999999,6825
274,155.0,-8.0,8,3,0,2000,38,35.0,1,5,4,2,0,127,34,3,42.982923,-71.44609399999999,6825
307,-155.0,13.0,5,3,0,2000,18,35.0,1,2,4,2,0,128,34,3,42.982923,-71.44609399999999,6825
309,-84.0,133.0,4,3,0,2000,34,35.0,0,2,4,2,0,129,42,3,42.982923,-71.44609399999999,6825
317,-178.0,-8.0,3,3,0,2000,51,37.0,0,2,4,0,0,130,12,3,42.982923,-71.44609399999999,6825
320,16.0,89.0,3,3,0,2000,40,29.0,0,0,1,2,0,131,21,3,42.982923,-71.44609399999999,6825
322,-48.0,106.0,3,3,0,2000,33,31.0,1,0,1,2,0,132,34,3,42.982923,-71.44609399999999,6825
362,-119.0,133.0,0,3,0,2000,14,37.0,0,1,4,0,0,135,34,3,42.982923,-71.44609399999999,6825
